"id","nida","phone_number","quality_status"
"1","19980309000000000001","+255710000001","VALID"
"2","20140310000000000002","+255710000002","VALID"
"3","20050903000000000003","+255710000003","VALID"
"4","19780227000000000004","+255710000004","VALID"
"5","19991028000000000005","+255710000005","VALID"
"6","20000720000000000006","+255710000006","VALID"
"7","20121128000000000007","+255710000007","VALID"
"8","20150930000000000008","+255710000008","VALID"
"9","20000219000000000009","+255710000009","VALID"
"10","19921208000000000010","+255710000010","VALID"
"11","19991204000000000011","+255710000011","VALID"
"12","19821001000000000012","+255710000012","VALID"
"13","19921210000000000013","+255710000013","CORRUPTED"
"14","19761130000000000014","+255710000014","VALID"
"15","20160211000000000015","+255710000015","VALID"
"16","19940815000000000016","+255710000016","VALID"
"17","20070203000000000017","+255710000017","VALID"
"18","19931104000000000018","+255710000018","CORRUPTED"
"19","19600922000000000019","+255710000019","VALID"
"20","20120415000000000020","+255710000020","VALID"
"21","19670323000000000021","+255710000021","WARNING"
"22","20181128000000000022","+255710000022","VALID"
"23","19660109000000000023","+255710000023","VALID"
"24","20000106000000000024","+255710000024","CORRUPTED"
"25","20120209000000000025","+255710000025","VALID"
"26","20120924000000000026","+255710000026","VALID"
"27","20111029000000000027","+255710000027","VALID"
"28","19890304000000000028","+255710000028","VALID"
"29","20090404000000000029","+255710000029","CORRUPTED"
"30","19810504000000000030","07123","WARNING"
"31","19921212000000000031","+255710000031","WARNING"
"32","20081121000000000032","+255710000032","VALID"
"33","19880514000000000033","+255710000033","VALID"
"34","19660319000000000034","+255710000034","VALID"
"35","19680219000000000035","+255710000035","VALID"
"36","19600614000000000036","+255710000036","VALID"
"37","20120511000000000037","+255710000037","VALID"
"38","19840709000000000038","+255710000038","VALID"
"39","19881228000000000039","+255710000039","VALID"
"40","20000703000000000040","+255710000040","VALID"
"41","19980722000000000041","+255710000041","VALID"
"42","19720701000000000042","+255710000042","VALID"
"43","19950107000000000043","+255710000043","VALID"
"44","20151015000000000044","+255710000044","VALID"
"45","19710421000000000045","+255710000045","VALID"
"46","20020311000000000046","+255710000046","VALID"
"47","19760407000000000047","+255710000047","VALID"
"48","20140417000000000048","+255710000048","VALID"
"49","20140413000000000049","+255710000049","VALID"
"50","20041117000000000050","+255710000050","VALID"
"51","19930608000000000051","+255710000051","VALID"
"52","20050903000000000052","+255710000052","VALID"
"53","20120408000000000053","+255710000053","VALID"
"54","19820609000000000054","+255710000054","WARNING"
"55","19891125000000000055","+255710000055","VALID"
"56","20050525000000000056","+255710000056","VALID"
"57","20081221000000000057","+255710000057","VALID"
"58","20061014000000000058","+255710000058","VALID"
"59","20010917000000000059","+255710000059","VALID"
"60","19950616000000000060","+255710000060","VALID"
"61","20120310000000000061","+255710000061","VALID"
"62","19691229000000000062","+255710000062","VALID"
"63","19930325000000000063","+255710000063","VALID"
"64","19951203000000000064","+255710000064","VALID"
"65","19720116000000000065","+255710000065","VALID"
"66","19750330000000000066","+255710000066","VALID"
"67","19950207000000000067","+255710000067","VALID"
"68","19990712000000000068","+255710000068","VALID"
"69","20150816000000000069","+255710000069","WARNING"
"70","20181212000000000070","+255710000070","WARNING"
"71","20061015000000000071","+255710000071","VALID"
"72","19750506000000000072","+255710000072","VALID"
"73","19861205000000000073","+255710000073","VALID"
"74","19660706000000000074","+255710000074","VALID"
"75","20190430000000000075","+255710000075","VALID"
"76","19991210000000000076","+255710000076","VALID"
"77","19790715000000000077","+255710000077","VALID"
"78","19761113000000000078","+255710000078","WARNING"
"79","20020115000000000079","+255710000079","VALID"
"80","19700509000000000080","+255710000080","VALID"
"81","19840405000000000081","+255710000081","VALID"
"82","19830630000000000082","+255710000082","VALID"
"83","19980615000000000083","+255710000083","VALID"
"84","19691025000000000084","+255710000084","WARNING"
"85","19651222000000000085","+255710000085","VALID"
"86","20080310000000000086","+255710000086","VALID"
"87","19840429000000000087","+255710000087","VALID"
"88","19601106000000000088","+255710000088","VALID"
"89","19980728000000000089","+255710000089","VALID"
"90","19810420000000000090","+255710000090","VALID"
"91","19620723000000000091","+255710000091","VALID"
"92","19900530000000000092","+255710000092","VALID"
"93","19940322000000000093","+255710000093","VALID"
"94","19720214000000000094","+255710000094","CORRUPTED"
"95","20160702000000000095","+255710000095","VALID"
"96","19730912000000000096","+255710000096","VALID"
"97","19681111000000000097","+255710000097","VALID"
"98","19970320000000000098","+255710000098","VALID"
"99","19780126000000000099","+255710000099","VALID"
"100","20090909000000000100","+255710000100","VALID"
"101","19870628000000000101","+255710000101","VALID"
"102","20101120000000000102","+255710000102","VALID"
"103","19680824000000000103","+255710000103","VALID"
"104","20120804000000000104","+255710000104","VALID"
"105","19831016000000000105","+255710000105","VALID"
"106","19830414000000000106","+255710000106","VALID"
"107","19770915000000000107","+255710000107","VALID"
"108","19750625000000000108","+255710000108","VALID"
"109","19780721000000000109","+255710000109","VALID"
"110","19990323000000000110","+255710000110","VALID"
"111","19940412000000000111","+255710000111","VALID"
"112","19880201000000000112","+255710000112","VALID"
"113","19900424000000000113","+255710000113","VALID"
"114","20031226000000000114","+255710000114","VALID"
"115","20081020000000000115","+255710000115","VALID"
"116","19890103000000000116","+255710000116","VALID"
"117","19721225000000000117","+255710000117","VALID"
"118","19971128000000000118","+255710000118","VALID"
"119","19781218000000000119","+255710000119","VALID"
"120","19780625000000000120","+255710000120","VALID"
"121","20061221000000000121","+255710000121","VALID"
"122","20180910000000000122","+255710000122","VALID"
"123","20030717000000000123","+255710000123","VALID"
"124","19670706000000000124","+255710000124","VALID"
"125","19630828000000000125","+255710000125","VALID"
"126","19761229000000000126","+255710000126","VALID"
"127","20090120000000000127","+255710000127","VALID"
"128","20180310000000000128","+255710000128","WARNING"
"129","19640419000000000129","+255710000129","VALID"
"130","19910222000000000130","+255710000130","VALID"
"131","20090524000000000131","+255710000131","VALID"
"132","19751112000000000132","+255710000132","VALID"
"133","19971121000000000133","+255710000133","VALID"
"134","20110425000000000134","+255710000134","CORRUPTED"
"135","19861108000000000135","+255710000135","VALID"
"136","20140602000000000136","+255710000136","VALID"
"137","19901106000000000137","+255710000137","VALID"
"138","20030301000000000138","+255710000138","VALID"
"139","20171227000000000139","+255710000139","VALID"
"140","20010303000000000140","+255710000140","WARNING"
"141","20091228000000000141","+255710000141","VALID"
"142","20031217000000000142","+255710000142","VALID"
"143","20151105000000000143","+255710000143","VALID"
"144","20150120000000000144","+255710000144","VALID"
"145","19860510000000000145","+255710000145","VALID"
"146","19921212000000000146","+255710000146","VALID"
"147","19660107000000000147","+255710000147","VALID"
"148","19970509000000000148","+255710000148","WARNING"
